Sample,Timestamp,CPU_Usage(%),RAM_Usage(%),RAM_Used(MB)
280,2026-06-07 19:26:00,11.2,58.8,1746.3
281,2026-06-07 19:26:01,17.3,58.8,1746.22
282,2026-06-07 19:26:02,21.9,58.8,1746.17
283,2026-06-07 19:26:03,61.2,58.8,1746.16
284,2026-06-07 19:26:04,80.0,58.8,1746.48
285,2026-06-07 19:26:05,73.2,58.8,1746.32
286,2026-06-07 19:26:06,12.1,58.8,1746.3
287,2026-06-07 19:26:07,2.2,58.8,1746.27
288,2026-06-07 19:26:08,11.4,58.8,1746.27
289,2026-06-07 19:26:09,20.5,58.8,1746.25
290,2026-06-07 19:26:10,27.5,58.8,1746.21
291,2026-06-07 19:26:11,57.2,58.8,1746.87
292,2026-06-07 19:26:12,87.5,58.8,1746.82
293,2026-06-07 19:26:13,70.1,58.8,1746.71
294,2026-06-07 19:26:14,18.0,58.8,1746.54
295,2026-06-07 19:26:15,11.9,58.8,1746.53
296,2026-06-07 19:26:16,18.2,58.8,1746.48
297,2026-06-07 19:26:17,8.3,58.8,1746.47
298,2026-06-07 19:26:18,64.5,58.8,1746.45
299,2026-06-07 19:26:19,41.2,58.8,1746.36
300,2026-06-07 19:26:20,94.1,58.8,1747.03
301,2026-06-07 19:26:21,42.2,58.8,1746.89
302,2026-06-07 19:26:22,10.8,58.8,1746.88
303,2026-06-07 19:26:23,6.7,58.8,1746.88
304,2026-06-07 19:26:24,14.1,58.8,1746.87
305,2026-06-07 19:26:25,69.4,58.9,1747.08
306,2026-06-07 19:26:26,94.3,58.9,1747.23
307,2026-06-07 19:26:27,86.0,58.9,1747.07
308,2026-06-07 19:26:28,98.3,58.9,1747.33
309,2026-06-07 19:26:29,97.4,58.9,1748.16
310,2026-06-07 19:26:30,100.0,58.9,1749.03
311,2026-06-07 19:26:31,100.0,58.9,1748.78
312,2026-06-07 19:26:32,26.1,58.8,1746.95
313,2026-06-07 19:26:33,1.6,58.8,1745.89
314,2026-06-07 19:26:34,20.5,58.8,1745.19
315,2026-06-07 19:26:35,11.4,58.8,1745.09
316,2026-06-07 19:26:36,20.7,58.8,1744.8
317,2026-06-07 19:26:37,6.3,58.8,1744.73
318,2026-06-07 19:26:38,2.2,58.8,1744.72
319,2026-06-07 19:26:39,10.2,58.7,1743.26
320,2026-06-07 19:26:40,11.8,58.7,1743.41
321,2026-06-07 19:26:41,0.0,58.7,1743.39
